DATE,MCAP
1.36719E+12,1661441770
1.36728E+12,1592765051
1.36737E+12,1378705103
1.36745E+12,1220763415
1.36754E+12,1075224202
1.36763E+12,1316363524
1.36771E+12,1382120536
1.3678E+12,1393824485
1.36788E+12,1254637674
1.36797E+12,1330986953
1.36806E+12,1334911702
1.36814E+12,1395116543
1.36823E+12,1332012007
1.36832E+12,1350327204
1.3684E+12,1377789386
1.36849E+12,1345650748
1.36858E+12,1338823587
1.36866E+12,1353313527
1.36875E+12,1443958629
1.36884E+12,1455779820
1.36892E+12,1417905572
1.36901E+12,1441122694
1.36909E+12,1443607754
1.36918E+12,1445715359
1.36927E+12,1478020525
1.36935E+12,1545112414
1.36944E+12,1533661573
1.36953E+12,1580501022
1.36961E+12,1515097522
1.3697E+12,1517015783
1.36979E+12,1494663310
1.36987E+12,1496904749
1.36996E+12,1501246629
1.37004E+12,1513483050
1.37013E+12,1425253662
1.37022E+12,1421300914
1.37039E+12,1428937992
1.37048E+12,1431055975
1.37056E+12,1399369412
1.37065E+12,1295759699
1.37074E+12,1276440352
1.37082E+12,1175742721
1.37091E+12,1249480387
1.371E+12,1281020351
1.37108E+12,1274880850
1.37117E+12,1209926438
1.37125E+12,1157471483
1.37134E+12,1175106991
1.37143E+12,1181799762
1.37151E+12,1203069155
1.3716E+12,1255047714
1.37169E+12,1272106014
1.37177E+12,1307192102
1.37186E+12,1295399444
1.37195E+12,1280858025
1.37203E+12,1288678379
1.37212E+12,1223713187
1.3722E+12,1236186084
1.37229E+12,1235489718
1.37238E+12,1194934899
1.37246E+12,1121179078
1.37255E+12,1144211142
1.37264E+12,1173606025
1.37272E+12,1081520862
1.37281E+12,1094150829
1.3729E+12,950276548
1.37298E+12,952140445
1.37307E+12,826561927
1.37316E+12,829092669
1.37324E+12,942313402
1.37333E+12,928926091
1.37341E+12,935842308
1.3735E+12,1040602951
1.37359E+12,1134446242
1.37367E+12,1066507120
1.37376E+12,1155324187
1.37385E+12,1139102572
1.37393E+12,1179325520
1.37402E+12,1202570259
1.37411E+12,1188974868
1.37419E+12,1081670768
1.37428E+12,1116264659
1.37436E+12,1088742655
1.37445E+12,1102248729
1.37454E+12,1115501747
1.37462E+12,1151633055
1.37471E+12,1153139045
1.3748E+12,1180880341
1.37488E+12,1148339225
1.37497E+12,1145435127
1.37506E+12,1202095629
1.37514E+12,1236716068
1.37523E+12,1339436875
1.37532E+12,1291879380
1.3754E+12,1239228980
1.37549E+12,1264382935
1.37557E+12,1326411168
1.37566E+12,1342634881
1.37575E+12,1326756331
1.37583E+12,1334526427
1.37592E+12,1274852723
1.37601E+12,1294963874
1.37609E+12,1286310198
1.37618E+12,1297135658
1.37627E+12,1313027073
1.37635E+12,1327786925
1.37644E+12,1391639436
1.37652E+12,1387094734
1.37661E+12,1358066069
1.3767E+12,1417789458
1.37678E+12,1445109513
1.37687E+12,1491994714
1.37696E+12,1514081839
1.37704E+12,1529230788
1.37713E+12,1535314865
1.37722E+12,1503336792
1.3773E+12,1511557692
1.37739E+12,1533396429
1.37748E+12,1535741760
1.37756E+12,1576762300
1.37765E+12,1546513175
1.37773E+12,1547509052
1.37782E+12,1617150065
1.37791E+12,1718392921
1.37799E+12,1722213503
1.37808E+12,1710142536
1.37817E+12,1713107795
1.37825E+12,1689995763
1.37834E+12,1633830110
1.37843E+12,1584477906
1.37851E+12,1563128527
1.3786E+12,1539918692
1.37868E+12,1594053182
1.37877E+12,1608333064
1.37886E+12,1656756078
1.37894E+12,1691228211
1.37903E+12,1701815760
1.37912E+12,1657025266
1.3792E+12,1642536157
1.37929E+12,1665488837
1.37938E+12,1683556257
1.37946E+12,1701294519
1.37955E+12,1682570743
1.37964E+12,1656461048
1.37972E+12,1631896171
1.37981E+12,1657008919
1.37989E+12,1634030222
1.37998E+12,1629092740
1.38007E+12,1654155481
1.38015E+12,1662419043
1.38024E+12,1618668560
1.38033E+12,1753605196
1.38041E+12,1828970464
1.3805E+12,1700443527
1.38059E+12,1722801590
